location_id,phase_id,lower_age,upper_age,NEW_lower_age,NEW_upper_age
5,1,0,100,0,100
5,1,0,9,0,9
5,1,10,19,10,19
5,1,20,29,20,29
5,1,30,39,30,39
5,1,40,49,40,49
5,1,50,59,50,59
5,1,60,69,60,69
5,1,70,100,70,100
11,2,0,100,0,100
12,1,0,100,0,100
12,1,0,9,10,19
12,1,10,19,20,29
12,1,20,29,30,39
12,1,30,39,40,49
12,1,40,49,50,59
12,1,50,59,60,69
12,1,60,69,70,79
12,1,70,79,80,100
12,1,80,100,,
13,1,0,100,0,100
16,2,0,100,0,100
18,1,0,100,0,100
19,1,0,100,0,100
19,1,0,18,0,18
19,1,19,24,19,29
19,1,25,29,30,39
19,1,30,34,40,49
19,1,35,39,50,59
19,1,40,44,60,100
19,1,45,49,,
19,1,50,54,,
19,1,55,59,,
19,1,60,64,,
19,1,65,69,,
19,1,70,74,,
19,1,75,79,,
19,1,80,84,,
19,1,85,100,,
24,1,0,100,0,100
36,1,0,100,0,100
36,1,0,4,0,9
36,1,5,9,10,19
36,1,10,19,20,39
36,1,20,39,40,59
36,1,40,59,60,100
36,1,60,100,,
38,1,0,100,0,100
38,1,0,17,0,17
38,1,18,39,18,39
38,1,40,59,40,59
38,1,60,100,60,100
40,1,0,100,0,100
40,1,0,17,18,30
40,1,18,30,31,40
40,1,31,40,41,50
40,1,41,50,51,60
40,1,51,60,61,70
40,1,61,70,71,80
40,1,71,80,81,100
40,1,81,100,,
42,1234,0,100,0,100
44,1,0,100,0,100
44,1,0,4,5,10
44,1,5,10,11,18
44,1,11,18,19,40
44,1,19,40,41,60
44,1,41,60,61,100
44,1,61,100,,
45,1,0,100,0,100
45,1,0,4,5,10
45,1,5,10,11,18
45,1,11,18,19,40
45,1,19,40,41,60
45,1,41,60,61,100
45,1,61,100,,
46,1,0,100,0,100
46,1,0,4,5,10
46,1,5,10,11,18
46,1,11,18,19,40
46,1,19,40,41,60
46,1,41,60,61,100
46,1,61,100,,
48,1,0,100,0,100
48,1,0,4,5,10
48,1,5,10,11,18
48,1,11,18,19,40
48,1,19,40,41,60
48,1,41,60,61,100
48,1,61,100,,
49,1,0,100,0,100
49,1,0,4,5,10
49,1,5,10,11,18
49,1,11,18,19,40
49,1,19,40,41,60
49,1,41,60,61,100
49,1,61,100,,
50,1,0,100,0,100
50,1,0,4,5,10
50,1,5,10,11,18
50,1,11,18,19,40
50,1,19,40,41,60
50,1,41,60,61,100
50,1,61,100,,
51,1,0,100,0,100
51,1,0,4,5,10
51,1,5,10,11,18
51,1,11,18,19,40
51,1,19,40,41,60
51,1,41,60,61,100
51,1,61,100,,
52,1,0,100,0,100
52,1,0,4,5,10
52,1,5,10,11,18
52,1,11,18,19,40
52,1,19,40,41,60
52,1,41,60,61,100
52,1,61,100,,
54,1,0,100,0,100
54,1,0,4,5,10
54,1,5,10,11,18
54,1,11,18,19,40
54,1,19,40,41,60
54,1,41,60,61,100
54,1,61,100,,
58,1,0,100,0,100
58,1,0,19,0,19
58,1,20,34,20,34
58,1,35,49,35,49
58,1,50,64,50,64
58,1,65,100,65,100
59,2,0,100,0,100
59,2,0,11,0,100
59,2,12,17,,
59,2,18,29,,
59,2,30,59,,
59,2,60,100,,
60,1,0,100,0,100
60,1,0,8,9,20
60,1,9,20,21,30
60,1,21,30,31,40
60,1,31,40,41,50
60,1,41,50,51,60
60,1,51,60,61,70
60,1,61,70,71,80
60,1,71,80,81,100
60,1,81,100,,
63,1,0,100,0,100
63,1,0,11,0,11
63,1,12,17,12,17
63,1,18,29,18,29
63,1,30,59,30,59
63,1,60,100,60,100
64,1,0,100,0,100
64,1,0,11,0,11
64,1,12,17,12,17
64,1,18,29,18,29
64,1,30,59,30,59
64,1,60,100,60,100
73,4,0,100,0,100
73,4,0,4,20,34
73,4,5,9,35,44
73,4,10,14,45,59
73,4,15,19,60,100
73,4,20,24,,
73,4,25,29,,
73,4,30,34,,
73,4,35,39,,
73,4,40,44,,
73,4,45,49,,
73,4,50,54,,
73,4,55,59,,
73,4,60,64,,
73,4,65,69,,
73,4,70,74,,
73,4,75,79,,
73,4,80,84,,
73,4,85,100,,
74,12,0,100,0,100
77,1,0,100,0,100
78,1,0,100,0,100
80,1,0,100,0,100
81,1,0,100,0,100
82,1,0,100,0,100
83,1,0,100,0,100
84,1,0,100,0,100
87,1,0,100,0,100
90,1,0,100,0,100
98,1,0,100,0,100
102,1,0,100,0,100
120,1,0,100,0,100
121,1,0,100,0,100
121,1,0,19,0,19
121,1,20,39,20,39
121,1,40,59,40,59
121,1,60,100,60,100
123,1,0,100,0,100
125,1,0,100,0,100
126,1,0,100,0,100
140,1,0,100,0,100
144,1,0,100,0,100
148,1,0,100,0,100
148,1,0,9,10,19
148,1,10,19,20,29
148,1,20,29,30,39
148,1,30,34,40,49
148,1,35,39,50,59
148,1,40,44,60,69
148,1,45,49,70,100
148,1,50,54,,
148,1,55,59,,
148,1,60,64,,
148,1,65,69,,
148,1,70,74,,
148,1,75,79,,
148,1,80,84,,
148,1,85,100,,
156,3,0,100,0,100
156,3,0,4,0,4
156,3,5,14,5,14
156,3,15,24,15,64
156,3,25,34,65,100
156,3,35,44,,
156,3,45,54,,
156,3,55,64,,
156,3,65,74,,
156,3,75,84,,
156,3,85,100,,
192,1,0,100,0,100
192,1,0,14,15,39
192,1,15,39,40,64
192,1,40,64,65,100
192,1,65,100,,
201,1,0,100,0,100
201,1,0,18,,
201,1,19,24,,
201,1,25,29,,
201,1,30,34,,
201,1,35,39,,
201,1,40,44,,
201,1,45,49,,
201,1,50,54,,
201,1,55,59,,
201,1,60,64,,
201,1,65,69,,
201,1,70,74,,
201,1,75,79,,
201,1,80,84,,
201,1,85,100,,
202,1,0,100,0,100
202,1,0,18,,
202,1,19,24,,
202,1,25,29,,
202,1,30,34,,
202,1,35,39,,
202,1,40,44,,
202,1,45,49,,
202,1,50,54,,
202,1,55,59,,
202,1,60,64,,
202,1,65,69,,
202,1,70,74,,
202,1,75,79,,
202,1,80,84,,
202,1,85,100,,
203,1,0,100,0,100
209,1,0,100,0,100
209,1,0,9,20,29
209,1,10,19,30,49
209,1,20,29,50,59
209,1,30,39,60,100
209,1,40,49,,
209,1,50,59,,
209,1,60,69,,
209,1,70,79,,
209,1,80,100,,
216,1,0,100,0,100
216,1,0,9,20,29
216,1,10,19,30,49
216,1,20,29,50,59
216,1,30,39,60,100
216,1,40,49,,
216,1,50,59,,
216,1,60,69,,
216,1,70,79,,
216,1,80,100,,
218,12,0,100,0,100
219,1,0,100,0,100
219,1,0,6,7,14
219,1,7,14,15,24
219,1,15,24,25,39
219,1,25,39,40,59
219,1,40,59,60,100
219,1,60,100,,
220,1,0,100,0,100
221,123,0,100,0,100
221,123,0,4,0,19
221,123,5,14,20,29
221,123,15,19,30,39
221,123,20,29,40,49
221,123,30,39,50,59
221,123,40,49,60,100
221,123,50,59,,
221,123,60,100,,
222,1,0,100,0,100
223,9,0,100,0,100
231,1,0,100,0,100
233,1,0,100,0,100
