Region,Country,Location,Longitude,Latitude,Source,Primary Reason for Exclusion,Additional Information,Reference(s),,,,,,,,,
North America ,Canada,national (Ab-C),NA,NA,SeroTracker,advanced economy,,https://www.medrxiv.org/content/10.1101/2021.03.04.21252540v1.full-text,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3903944,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3752659,https://abcstudy.ca/news/newsletter-2021-03-12/,https://abcstudy.ca/news/newsletter-2021-06-18/,https://web.archive.org/web/20210104013826/https://figshare.com/articles/journal%20contribution/The_Action_to_Beat_Coronavirus_Action_pour_Battre_le_Coronavirus_Ab-C_study_protocol_/13124595/1,https://web.archive.org/web/20210104013907/https://www.angusreid.com/abc-study-page/,https://twitter.com/GlobalNational/status/1268553442773078016,,
North America ,Canada,national (CCAHS),NA,NA,Google,advanced economy,,https://www150.statcan.gc.ca/n1/en/daily-quotidien/210706/dq210706a-eng.pdf?st=Cl_X3kpv,https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5339,https://www.statcan.gc.ca/eng/survey/household/5339/brochure,https://www.statcan.gc.ca/eng/survey/household/5339,,,,,,
North America ,USA,national (Vu study),NA,NA,SeroTracker,advanced economy,,national results: https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab626/6318822?login=true,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3834313,abstract #636 on page 248: https://web.archive.org/web/20210312024505/https://2jg4quetidw2blbbq2ixwziw-wpengine.netdna-ssl.com/wp-content/uploads/sites/2/2021/03/ABSTRACTS-wBook-3_8_21wc.pdf,https://news.emory.edu/stories/2021/03/covidvu_at_croi/index.html,https://www.sciencedirect.com/science/article/pii/S1047279720302751,,,,,
North America ,USA,Arizona: Maricopa County,NA,NA,SeroTracker,advanced economy,,https://www.maricopa.gov/CivicAlerts.aspx?AID=1876,https://www.maricopa.gov/5607/COVID-19-Serosurvey,https://research.asu.edu/serosurvey-maricopa-county,https://research.asu.edu/study-shows-covid-19-often-undetected-maricopa-county,https://twitter.com/JehnML/status/1368658534456459270,,,,,
North America ,USA,California: Bolinas,NA,NA,SeroTracker,advanced economy,,https://academic.oup.com/ofid/advance-article/doi/10.1093/ofid/ofaa531/5943212,https://bolinastesting.org/,,,,,,,,
North America ,USA,California: Los Angeles County,NA,NA,SeroTracker,advanced economy,,https://jamanetwork.com/journals/jama/fullarticle/2766367,issues with antibody test:  https://oversight.house.gov/sites/democrats.oversight.house.gov/files/2020-04-28.RK%20to%20Premier%20Biotech%20re%20Serology%20Tests.pdf,population fatality rate of >0.24%:  http://dashboard.publichealth.lacounty.gov/covid19_surveillance_dashboard/,SoapBox sample:  https://www.soapboxsample.com/soapboxsample-helps-riverside-county-gauge-spread-covid-19/,,,,,,
North America ,USA,California: Orange County,NA,NA,SeroTracker,advanced economy,,https://www.nature.com/articles/s41598-021-82662-x,https://wwwnc.cdc.gov/eid/article/27/10/21-0103_article,https://www.medrxiv.org/content/10.1101/2020.10.07.20208660v1.full-text,https://covid-19.publichealth.uci.edu/act-oc/,SoapBox company mentioned in medrxiv draft:  https://www.soapboxsample.com/soapboxsample-helps-riverside-county-gauge-spread-covid-19/,,,,,
North America ,USA,California: Orange County (Santa Ana),NA,NA,MedRxiv,advanced economy,,https://www.biorxiv.org/content/10.1101/2021.04.15.440089v3.full,https://publichealth.uci.edu/ph/_news_events/featured_news/surveillance-study-finds-disparities-high-proportion-of-past-covid-19-infec,,,,,,,,
North America ,USA,California: Placer County,NA,NA,SeroTracker,advanced economy,insufficient information about assay,https://www.placer.ca.gov/DocumentCenter/View/49523/2021-011221-PowerPoint-Item-02A,https://yubanet.com/regional/placers-covid-19-infection-rate-likely-triple-number-of-confirmed-cases-vaccination-offers-stronger-antibody-response-than-natural-infection-study-suggests/,https://www.placer.ca.gov/7235/COVID-19-antibodies-study-results,https://www.placer.ca.gov/7104/COVID-19-antibody-study-continues,https://www.placer.ca.gov/6913/Placer-COVID-19-antibody-study,https://www.placer.ca.gov/DocumentCenter/View/44675/03?bidId=,http://med.stanford.edu/epidemiology-dept/research/covid-research-collaborative/CA-Facts.html,https://www.ca-facts.org/,,
North America ,USA,California: Riverside County,NA,NA,SeroTracker,advanced economy,insufficient information about assay,https://rivcoph.org/Portals/0/Documents/CoronaVirus/July/News/7.27.20%20antibody%20testing%20results.pdf?ver=2020-07-27-144931-703&timestamp=1595886602504,https://countyofriverside.us/NewsHighlights/TabId/96/ArtMID/487/ArticleID/506/Riverside-County-to-begin-coronavirus-antibody-testing-as-part-of-prevalence-study.aspx#gsc.tab=0,SoapBox sample:  https://www.soapboxsample.com/soapboxsample-helps-riverside-county-gauge-spread-covid-19/,http://archive.is/JXtUt#selection-1159.0-1163.200,https://www.rivco.org/news/riverside-county-begin-coronavirus-antibody-testing-part-prevalence-study,,,,,
North America ,USA,Colorado: San Miguel County,NA,NA,SeroTracker,advanced economy,insufficient information about assay,http://web.archive.org/web/20200727075113/https://www.sanmiguelcountyco.gov/CivicAlerts.aspx?AID=586,https://www.sanmiguelcountyco.gov/DocumentCenter/View/5764/Antibody-Blood-Test-Final-Numbers-English-PNG?bidId= ,https://www.sanmiguelcountyco.gov/DocumentCenter/View/5717/San-Miguel-County-IgG-Antibody-Test-Statistics-and-Demographics-PDF?bidId=,,,,,,,
North America ,USA,Connecticut,NA,NA,SeroTracker,advanced economy,,https://www.amjmed.com/article/S0002-9343(20)30909-8/fulltext,https://www.medrxiv.org/content/10.1101/2020.10.30.20223461v1,https://www.amjmed.com/article/S0002-9343(21)00099-1/fulltext,,,,,,,
