location,region,country,source,reason(s) for exclusion,citations,,,,,,,,,
national (Ab-C),North America ,Canada,SeroTracker,advanced economy,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789086,https://www.medrxiv.org/content/10.1101/2021.03.04.21252540v1.full-text,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3903944,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3752659,https://abcstudy.ca/news/newsletter-2021-03-12/,https://abcstudy.ca/news/newsletter-2021-06-18/,https://web.archive.org/web/20210104013826/https://figshare.com/articles/journal%20contribution/The_Action_to_Beat_Coronavirus_Action_pour_Battre_le_Coronavirus_Ab-C_study_protocol_/13124595/1,https://web.archive.org/web/20210104013907/https://www.angusreid.com/abc-study-page/,https://twitter.com/GlobalNational/status/1268553442773078016,
national (CCAHS),North America ,Canada,Google,"advanced economy, start-week and end-week not specified",https://www150.statcan.gc.ca/n1/en/daily-quotidien/210706/dq210706a-eng.pdf?st=Cl_X3kpv,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310081801,https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5339,https://www.statcan.gc.ca/eng/survey/household/5339/brochure,https://www.statcan.gc.ca/eng/survey/household/5339,,,,,
national (COVIDVu study),North America ,USA,SeroTracker,advanced economy,national results: https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab626/6318822?login=true,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3834313,abstract #636 on page 248: https://web.archive.org/web/20210312024505/https://2jg4quetidw2blbbq2ixwziw-wpengine.netdna-ssl.com/wp-content/uploads/sites/2/2021/03/ABSTRACTS-wBook-3_8_21wc.pdf,https://news.emory.edu/stories/2021/03/covidvu_at_croi/index.html,https://www.sciencedirect.com/science/article/pii/S1047279720302751,phase 2:  https://www.medrxiv.org/content/10.1101/2021.09.22.21263904v2,,,,
Arizona: Maricopa County,North America ,USA,SeroTracker,advanced economy,https://ajph.aphapublications.org/doi/10.2105/AJPH.2021.306568,https://www.maricopa.gov/CivicAlerts.aspx?AID=1876,https://www.maricopa.gov/5607/COVID-19-Serosurvey,https://research.asu.edu/serosurvey-maricopa-county,https://research.asu.edu/study-shows-covid-19-often-undetected-maricopa-county,https://twitter.com/JehnML/status/1368658534456459270,https://www.youtube.com/watch?v=8Wx-FoXdG74,,,
California (COVIDVu study),North America,USA,Google,advanced economy,https://academic.oup.com/ofid/advance-article/doi/10.1093/ofid/ofab379/6329153,,,,,,,,,
California: 7 counties,North America,USA,Google,"advanced economy, sampling past February 2021",https://www.medrxiv.org/content/10.1101/2021.12.09.21267565v1,,,,,,,,,
California: Bolinas,North America ,USA,SeroTracker,"advanced economy  (low population of <30,000)",https://academic.oup.com/ofid/advance-article/doi/10.1093/ofid/ofaa531/5943212,https://bolinastesting.org/,,,,,,,,
California: East Bay area / Northern California Bay Area,North America,USA,Google,"advanced economy, sampling past February 2021",https://www.medrxiv.org/content/10.1101/2021.12.02.21266871v1.full-text,,,,,,,,,
California: Los Angeles County,North America ,USA,SeroTracker,advanced economy,https://jamanetwork.com/journals/jama/fullarticle/2766367,issues with antibody test:  https://oversight.house.gov/sites/democrats.oversight.house.gov/files/2020-04-28.RK%20to%20Premier%20Biotech%20re%20Serology%20Tests.pdf,population fatality rate of >0.24%:  http://dashboard.publichealth.lacounty.gov/covid19_surveillance_dashboard/,SoapBox sample:  https://www.soapboxsample.com/soapboxsample-helps-riverside-county-gauge-spread-covid-19/,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2788249,,,,,
California: Orange County,North America ,USA,SeroTracker,advanced economy,https://www.nature.com/articles/s41598-021-82662-x,https://wwwnc.cdc.gov/eid/article/27/10/21-0103_article,https://www.medrxiv.org/content/10.1101/2020.10.07.20208660v1.full-text,https://covid-19.publichealth.uci.edu/act-oc/,SoapBox company mentioned in medrxiv draft:  https://www.soapboxsample.com/soapboxsample-helps-riverside-county-gauge-spread-covid-19/,,,,,
California: Orange County (Santa Ana),North America ,USA,MedRxiv,advanced economy,https://www.biorxiv.org/content/10.1101/2021.04.15.440089v3.full,https://publichealth.uci.edu/ph/_news_events/featured_news/surveillance-study-finds-disparities-high-proportion-of-past-covid-19-infec,,,,,,,,
California: Placer County,North America ,USA,SeroTracker,advanced economy,https://www.placer.ca.gov/DocumentCenter/View/49523/2021-011221-PowerPoint-Item-02A,email from study authors,https://yubanet.com/regional/placers-covid-19-infection-rate-likely-triple-number-of-confirmed-cases-vaccination-offers-stronger-antibody-response-than-natural-infection-study-suggests/,https://www.placer.ca.gov/7235/COVID-19-antibodies-study-results,https://www.placer.ca.gov/7104/COVID-19-antibody-study-continues,https://www.placer.ca.gov/6913/Placer-COVID-19-antibody-study,https://www.placer.ca.gov/DocumentCenter/View/44675/03?bidId=,http://med.stanford.edu/epidemiology-dept/research/covid-research-collaborative/CA-Facts.html,,
California: Riverside County,North America ,USA,SeroTracker,"advanced economy, insufficient information on assay",https://rivcoph.org/Portals/0/Documents/CoronaVirus/July/News/7.27.20%20antibody%20testing%20results.pdf?ver=2020-07-27-144931-703&timestamp=1595886602504,https://countyofriverside.us/NewsHighlights/TabId/96/ArtMID/487/ArticleID/506/Riverside-County-to-begin-coronavirus-antibody-testing-as-part-of-prevalence-study.aspx#gsc.tab=0,SoapBox sample:  https://www.soapboxsample.com/soapboxsample-helps-riverside-county-gauge-spread-covid-19/,http://archive.is/JXtUt#selection-1159.0-1163.200,https://www.rivco.org/news/riverside-county-begin-coronavirus-antibody-testing-part-prevalence-study,,,,,
Colorado: Denver,North America,USA,Google,advanced economy,https://journals.sagepub.com/doi/10.1177/00333549211055137,https://twitter.com/CDPHE/status/1288508334941720577,,,,,,,,
