location_id,phase_id,lower_age,upper_age,NEW_lower_age,NEW_upper_age
5,1,0,100,0,100
5,1,1,9,0,9
5,1,10,19,10,19
5,1,20,29,20,29
5,1,30,39,30,39
5,1,40,49,40,49
5,1,50,59,50,59
5,1,60,69,60,69
5,1,70,100,70,100
11,2,0,100,0,100
11,2,0,17,0,17
11,2,18,49,18,49
11,2,50,100,50,100
12,1,0,100,0,100
12,1,10,19,10,19
12,1,20,29,20,29
12,1,30,39,30,39
12,1,40,49,40,49
12,1,50,59,50,59
12,1,60,69,60,69
12,1,70,79,70,79
12,1,80,100,80,100
13,1,12,100,0,100
13,1,12,17,0,17
13,1,18,30,18,30
13,1,31,50,31,50
13,1,51,65,51,65
13,1,66,100,66,100
16,2,0,100,0,100
16,2,18,29,0,29
16,2,30,44,30,44
16,2,45,59,45,59
16,2,60,100,60,100
17,1,0,100,0,100
17,1,18,30,18,30
17,1,31,50,31,50
17,1,51,65,51,65
17,1,66,100,66,100
18,1,0,100,0,100
18,1,11,19,0,19
18,1,20,45,20,45
18,1,46,59,46,59
18,1,60,100,60,100
19,1,0,100,0,100
19,1,10,19,0,18
19,1,20,29,19,29
19,1,30,39,30,39
19,1,40,49,40,49
19,1,50,59,50,59
19,1,60,100,60,100
22,1,0,100,0,100
22,1,0,14,0,14
22,1,15,34,15,34
22,1,35,59,35,59
22,1,60,100,60,100
22,1,0,14,0,14
22,1,15,34,15,34
22,1,35,59,35,59
22,1,60,100,60,100
24,1,0,100,0,100
24,1,0,14,0,14
24,1,15,34,15,34
24,1,35,59,35,59
24,1,60,100,60,100
25,1,0,100,0,100
25,1,0,14,0,14
25,1,15,34,15,34
25,1,35,59,35,59
25,1,60,100,60,100
26,1,0,100,0,100
26,1,0,14,0,14
26,1,15,34,15,34
26,1,35,59,35,59
26,1,60,100,60,100
27,1,0,100,0,100
27,1,0,14,0,14
27,1,15,34,15,34
27,1,35,59,35,59
27,1,60,100,60,100
28,1,0,100,0,100
28,1,0,14,0,14
28,1,15,34,15,34
28,1,35,59,35,59
28,1,60,100,60,100
29,1,0,100,0,100
29,1,0,14,0,14
29,1,15,34,15,34
29,1,35,59,35,59
29,1,60,100,60,100
30,1,0,100,0,100
30,1,0,14,0,14
30,1,15,34,15,34
30,1,35,59,35,59
30,1,60,100,60,100
31,1,0,100,0,100
31,1,0,14,0,14
31,1,15,34,15,34
31,1,35,59,35,59
31,1,60,100,60,100
32,1,0,100,0,100
32,1,0,14,0,14
32,1,15,34,15,34
32,1,35,59,35,59
32,1,60,100,60,100
33,1,0,100,0,100
33,1,0,14,0,14
33,1,15,34,15,34
33,1,35,59,35,59
33,1,60,100,60,100
34,1,0,100,0,100
34,1,0,14,0,14
34,1,15,34,15,34
34,1,35,59,35,59
34,1,60,100,60,100
36,1,0,100,0,100
36,1,0,9,0,9
36,1,10,19,10,19
36,1,20,29,20,29
36,1,30,39,30,39
36,1,40,49,40,49
36,1,50,59,50,59
36,1,60,100,60,100
37,1,0,100,0,100
37,1,0,5,0,5
37,1,6,17,6,17
37,1,18,29,18,29
37,1,30,41,30,41
37,1,42,53,42,53
37,1,54,65,54,65
37,1,66,100,66,100
38,1,0,100,0,100
38,1,0,17,0,17
38,1,18,39,18,39
38,1,40,59,40,59
38,1,60,100,60,100
40,1,0,100,0,100
40,1,18,30,18,30
40,1,31,40,31,40
40,1,41,50,41,50
40,1,51,60,51,60
40,1,61,70,61,70
40,1,71,80,71,80
40,1,81,100,81,100
42,1234,0,100,0,100
44,1,0,100,0,100
44,1,5,10,5,10
44,1,11,18,11,18
44,1,19,40,19,40
44,1,41,60,41,60
44,1,61,100,61,100
45,1,0,100,0,100
45,1,5,10,5,10
45,1,11,18,11,18
45,1,19,40,19,40
45,1,41,60,41,60
45,1,61,100,61,100
46,1,0,100,0,100
46,1,5,10,5,10
46,1,11,18,11,18
46,1,19,40,19,40
46,1,41,60,41,60
46,1,61,100,61,100
48,1,0,100,0,100
48,1,5,10,5,10
48,1,11,18,11,18
48,1,19,40,19,40
48,1,41,60,41,60
48,1,61,100,61,100
49,1,0,100,0,100
49,1,5,10,5,10
49,1,11,18,11,18
49,1,19,40,19,40
49,1,41,60,41,60
49,1,61,100,61,100
50,1,0,100,0,100
50,1,5,10,5,10
50,1,11,18,11,18
50,1,19,40,19,40
50,1,41,60,41,60
50,1,61,100,61,100
51,1,0,100,0,100
51,1,5,10,5,10
51,1,11,18,11,18
51,1,19,40,19,40
51,1,41,60,41,60
51,1,61,100,61,100
52,1,0,100,0,100
52,1,5,10,5,10
52,1,11,18,11,18
52,1,19,40,19,40
52,1,41,60,41,60
52,1,61,100,61,100
52,1,11,18,11,18
52,1,19,40,19,40
52,1,41,60,41,60
52,1,61,100,61,100
54,1,0,100,0,100
54,1,5,10,5,10
54,1,11,18,11,18
54,1,19,40,19,40
54,1,41,60,41,60
54,1,61,100,61,100
55,1,0,100,0,100
58,1,0,100,0,100
58,1,0,19,0,19
58,1,20,34,20,34
58,1,35,49,35,49
58,1,50,64,50,64
58,1,65,100,65,100
59,2,0,100,0,100
60,1,0,100,0,100
60,1,9,20,9,20
60,1,21,30,21,30
60,1,31,40,31,40
60,1,41,50,41,50
60,1,51,60,51,60
60,1,61,70,61,70
60,1,71,80,71,80
60,1,81,100,81,100
63,1,0,100,0,100
63,1,0,11,0,11
63,1,12,17,12,17
63,1,18,29,18,29
63,1,30,59,30,59
63,1,60,100,60,100
64,1,0,100,0,100
64,1,0,11,0,11
64,1,12,17,12,17
64,1,18,29,18,29
64,1,30,59,30,59
64,1,60,100,60,100
73,4,0,100,0,100
73,4,18,34,20,34
73,4,35,44,35,44
73,4,45,59,45,59
73,4,60,100,60,100
74,12,0,100,0,100
77,1,0,100,0,100
77,1,0,30,0,30
77,1,31,50,31,50
77,1,51,70,51,70
77,1,71,100,71,100
78,1,0,100,0,100
78,1,0,4,0,4
78,1,5,14,5,14
78,1,15,24,15,24
78,1,25,34,25,34
78,1,35,44,35,44
78,1,45,54,45,54
78,1,55,64,55,64
78,1,65,74,65,74
78,1,75,84,75,84
78,1,85,100,85,100
80,1,0,100,0,100
81,1,0,100,0,100
81,1,6,17,0,17
81,1,18,39,18,39
81,1,40,59,40,59
81,1,60,100,60,100
82,1,0,100,0,100
82,1,0,19,0,19
82,1,20,39,20,39
82,1,40,59,40,59
82,1,60,100,60,100
83,1,0,100,0,100
83,1,18,29,0,29
83,1,30,39,30,39
83,1,40,49,40,49
83,1,50,59,50,59
83,1,60,100,60,100
84,1,0,100,0,100
84,1,0,19,0,19
84,1,20,29,20,29
84,1,30,39,30,39
84,1,40,49,40,49
84,1,50,59,50,59
84,1,60,100,60,100
87,1,0,100,0,100
87,1,0,4,0,4
87,1,5,18,5,18
87,1,19,45,19,45
87,1,46,60,46,60
87,1,61,100,61,100
88,1,0,100,0,100
88,1,0,19,0,19
