agedistribution_citation_id,description,citation
a-09,pop structure of Lao Republic,https://www.populationpyramid.net/lao-peoples-democratic-republic/2020/
g-20,pop structure of sao paulo,https://censo2010.ibge.gov.br/sinopse/webservice/frm_piramide.php?codigo=35&corhomem=3d4590&cormulher=9cdbfc
n-2020,"definition of Greater Santiago, Chile in figure 1B (Santiago province + municipalities of San Bernardo and Puente Alto)",https://science.sciencemag.org/content/372/6545/eabg5298/tab-figures-data
n-2021,pop structure for Santiago province,https://citypopulation.de/en/chile/mun/admin/131__santiago/
n-2022,pop structure for San Bernardo,https://citypopulation.de/en/chile/mun/admin/maipo/13401__san_bernardo/
n-2023,pop structure for Puente Alto,https://citypopulation.de/en/chile/mun/admin/cordillera/13201__puente_alto/
n-2024,pop structure for Coquimbo,https://citypopulation.de/en/chile/mun/admin/elqui/04102__coquimbo/
n-2025,pop structure for La Serena,https://citypopulation.de/en/chile/mun/admin/elqui/04101__la_serena/
n-2026,pop structure of Talca,https://citypopulation.de/en/chile/mun/admin/talca/07101__talca/
n-2027,"pop structure of Águas Claras (including Arniqueiras + Areal + Vertical) in 2018, pages 82 + 83 (in Distrito Federal, Brazil)",http://www.codeplan.df.gov.br/wp-content/uploads/2020/06/%C3%81guas-Claras.pdf
n-2028,"pop structure of Brazlândia in 2018, page 45 (in Distrito Federal, Brazil)",http://www.codeplan.df.gov.br/wp-content/uploads/2020/06/Brazl%C3%A2ndia.pdf
n-2029,"pop structure of Ceilândia + Sol Nascente (Pôr do Sol) in 2018, page 77 (in Distrito Federal, Brazil)",http://www.codeplan.df.gov.br/wp-content/uploads/2020/06/Ceil%C3%A2ndia.pdf
n-2030,"pop structure of Recanto das Emas in 2018, page 44 (in Distrito Federal, Brazil)",http://www.codeplan.df.gov.br/wp-content/uploads/2020/06/Recanto-das-Emas.pdf
n-2031,"pop structure of Samambaia in 2018, page 44 (in Distrito Federal, Brazil)",http://www.codeplan.df.gov.br/wp-content/uploads/2020/06/Samambaia.pdf
n-2032,"pop structure of Taguatinga in 2018, page 45 (in Distrito Federal, Brazil)",http://www.codeplan.df.gov.br/wp-content/uploads/2020/06/Taguatinga.pdf
n-2033,"pop structure of Vicente Pires in 2018, page 46 (in Distrito Federal, Brazil)",http://www.codeplan.df.gov.br/wp-content/uploads/2020/06/Vicente-Pires.pdf
n-2034,"pop structure of Canoas (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4304606__canoas/
n-2035,"pop structure of Caxias (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4305108__caxias_do_sul/
n-2036,"pop structure of Ijuí (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4310207__iju%C3%AD/
n-2037,"pop structure of Passo Fundo (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4314100__passo_fundo/
n-2038,"pop structure of Pelotas (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4314407__pelotas/
n-2039,"pop structure of Porto Alegre (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4314902__porto_alegre/
n-2040,"pop structure of Santa Cruz do Sul (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4316808__santa_cruz_do_sul/
n-2041,"pop structure of Santa Maria (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4316907__santa_maria/
n-2042,"pop structure of Uruguaiana (in Rio Grande do Sul, Brazil)",https://citypopulation.de/en/brazil/regiaosud/admin/rio_grande_do_sul/4322400__uruguaiana/
n-2043,"pop structure of Carmópolis (in Minas Gerais, Brazil)",https://www.citypopulation.de/en/brazil/regiaosudeste/admin/minas_gerais/3114501__carm%C3%B3polis_de_minas/
n-2044,"pop structure of Nepomuceno (in Minas Gerais, Brazil)",https://www.citypopulation.de/en/brazil/regiaosudeste/admin/minas_gerais/3144607__nepomuceno/
n-2048,pop structure of Madurai District (India),https://www.citypopulation.de/en/india/tamilnadu/3322__madurai/
r-19,india nat'l pop,https://www.populationpyramid.net/india/2019/
r-38,pop structure lichinga (mozambique),https://www.citypopulation.de/en/mozambique/admin/niassa/0101__lichinga/
r-47,pop structure guapi,https://www.citypopulation.de/en/colombia/admin/cauca/19318__guapi/
r-56,pop structure addis ababa,https://www.statsethiopia.gov.et/wp-content/uploads/2019/05/ICPS-Population-Projection-2007-2037-produced-in-2012.pdf
r-61,pop structure wuhan,https://www.citypopulation.de/en/china/hubei/admin/4201__wuhan/
r-65,pop structure kashmir,https://www.censusindia.gov.in/2011census/C-series/C-14.html
