location_id,Region,Country,Location,Source,Reference(s),,,,,,
NA,Latin America,Argentina,Buenos Aires city (Barrio Villa Azul),Google,https://preprints.scielo.org/index.php/scielo/preprint/view/1147,,,,,,
NA,Latin America,Argentina,"Buenos Aires city (CABA, not part of Buenos Aires province)",Google,https://www.estadisticaciudad.gob.ar/eyc/wp-content/uploads/2020/12/ir_2020_1509.pdf,https://www.buenosaires.gob.ar/salud/noticias/coronavirus-el-ministerio-de-salud-porteno-seroprevalencia-buenos-aires,https://www.estadisticaciudad.gob.ar/eyc/wp-content/uploads/2020/11/ir_2020_1501.pdf,https://www.buenosaires.gob.ar/haciendayfinanzas/noticias/encuesta-de-seroprevalencia-de-covid-19,https://web.archive.org/web/20201031183309/https://www.estadisticaciudad.gob.ar/eyc/?p=110759,https://www.facebook.com/estadisticaba/posts/4821344791224592/,video with antibody assay: https://ne-np.facebook.com/128026020556516/videos/280955429876354/?__so__=watchlist&__rv__=video_home_www_playlist_video_list
NA,Latin America,Argentina,"Metropolitan Area of Buenos Aires (AMBA), 40 municipalities",Google,http://www.estadistica.ec.gba.gov.ar/dpe/images/INFORME_SEROPREVALENCIA.pdf,https://www.gba.gob.ar/hacienda_y_finanzas/noticias/la_provincia_comenz%C3%B3_realizar_un_estudio_de_seroprevalencia_de_covid_19,,,,,
NA,Latin America,Brazil,Distrito Federal (9 administrative regions),Google,http://www.saude.df.gov.br/saude-apresenta-dados-parciais-do-inquerito-soroepidemiologico-de-covid-19-no-df/,https://www.agenciabrasilia.df.gov.br/2020/10/29/secretaria-de-saude-recebe-10-mil-testes-para-covid-19/,,,,,
NA,Latin America,Brazil,Rio Grande do Sul: 9 cities,SeroTracker,https://www.medrxiv.org/content/10.1101/2021.05.21.21257634v1.full-text,https://ajph.aphapublications.org/doi/10.2105/AJPH.2021.306351?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub++0pubmed,ELISA assay:  https://www.medrxiv.org/content/10.1101/2020.07.13.20152884v6.full-text,ELISA assay:  https://privpapers.ssrn.com/sol3/papers.cfm?abstract_id=3757411,https://www.nature.com/articles/s41591-020-0992-3,https://estado.rs.gov.br/quarta-etapa-de-pesquisa-aponta-estabilidade-no-total-de-infectados-por-coronavirus-no-rs,https://estado.rs.gov.br/upload/arquivos//epicovid19-fase4.pdf
NA,Latin America,Brazil,São Paulo state: São Paulo city #2,SeroTracker,https://www.medrxiv.org/content/10.1101/2021.06.16.21256530v1.full-text,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/saude/2020_10_13_inq_soro_adulto.pdf,http://www.capital.sp.gov.br/arquivos/pdf/2021/inquerito_fase-02_2021.pdf/view,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/saude/22_6_2020_Inquerito_fase%200.pdf,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/saude/13_8_2020_PPT_COLETIVA%2013_FASE03.pdf,https://www.prefeitura.sp.gov.br/cidade/secretarias/saude/vigilancia_em_saude/doencas_e_agravos/coronavirus/index.php?p=291766,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/saude/20201114_boletim_covid19_diario.pdf
NA,Latin America,Chile,"Coquimbo-La Serena, Talca, Greater Santiago (not Santiago region, and not just Santiago province)",Google,https://www.youtube.com/watch?v=MHxLgORehGk&t=364s,https://medicina.udd.cl/doctorado/es/2021/07/29/estudio-determina-tasa-de-infectados-con-covid-19-en-tres-ciudades-chilenas-e-identifica-factores-y-zonas-con-mayor-riesgo-de-contagio/,https://www.arcgis.com/apps/MapSeries/index.html?appid=1ee935bf0ad2452db5b4e3da5e1e952d,https://www.udd.cl/noticias/2020/12/02/tercer-informe-de-estudio-udd-sobre-prevalencia-de-covid-19-en-la-region-metropolitana/,https://paginav.cl/2020/11/30/u-catolica-del-norte-estudio-de-seroprevalencia-de-coronavirus-tiene-sus-primeros-resultados/,https://www.udd.cl/noticias/2020/07/04/estudio-de-sero-epidemiologia-y-plataforma-de-informacion-territorial-de-la-infeccion-por-sars-cov-2-en-tres-ciudades-chilenas/,https://medicina.udd.cl/estudio-seroprevalencia/
NA,East Asia,China,Wuhan #2,SeroTracker,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00238-5/fulltext,,,,,,
NA,East Asia,China,Wuhan: Wuchang District,SeroTracker,https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30598-X/fulltext,,,,,,
NA,Africa,Ethiopia,Addis Ababa #2 + Jimma,SeroTracker,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00160-7/fulltext,,,,,,
