agedistribution_citation_id,descrip_label,citation
a-01,pop structure of Foz do Iguacu (Brazil),http://citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4108304__foz_do_igua%C3%A7u/
a-02,pop structure of Mitchells Plain (South Africa),https://www.westerncape.gov.za/assets/departments/health/h_102_2020_covid-19_population_data.pdf
a-03,pop structure of Hubei Province (excluding Wuhan),http://citypopulation.de/en/china/admin/42__h%C3%BAb%C4%95i/ 
a-04,pop structure of St. Petersburg (Russia),https://piterbu.ru/pozitiv/6686-chislennost-naseleniya-sankt-peterburga-na-2017-god-ego-sostav-i-natsionalnosti.html
a-05,pop structure of Iquitos (Peru),http://citypopulation.de/en/peru/loreto/admin/maynas/160101__iquitos/
a-06,pop structure of Lima Province + Callao Province,http://citypopulation.de/en/peru/admin/callao/0701__callao/ and http://citypopulation.de/en/peru/admin/lima/1501__lima/
a-07,pop structure of Karachi,https://www.pbs.gov.pk/sites/default/files//tables/POPULATION%20BY%20SELECTIVE%20AGE%20GROUPS.pdf
a-08,pop structure of Lahore,https://www.pbs.gov.pk/sites/default/files//tables/POPULATION%20BY%20SELECTIVE%20AGE%20GROUPS.pdf
a-12,pop structure of Dire Dawa (Ethiopia),https://www.statsethiopia.gov.et/wp-content/uploads/2019/05/ICPS-Population-Projection-2007-2037-produced-in-2012.pdf
a-13,pop structure of Ndola + 5 other districts (Zambia),https://www.zamstats.gov.zm/phocadownload/Zambia%20Census%20Projection%202011%20-%202035.pdf
a-14,pop structure of Cordoba (8 cities in Colombia),http://citypopulation.de/en/colombia/admin/23__c%C3%B3rdoba/
a-15,"population structure of Maputo City, Mozambique",http://citypopulation.de/en/mozambique/admin/11__maputo_cidade/
a-19,pop structure of Malegaon District (India),https://www.city-facts.com/m%C4%81legaon
a-22,Sosnowiec (3 cities),http://citypopulation.de/en/poland/slaskie/admin/powiat_sosnowiec
a-23,Mato Grosso (8 cities),http://citypopulation.de/en/brazil/regiaocentrooeste/admin/mato_grosso/
a-24,Asuncion + Central District (Paraguay),https://www.citypopulation.de/en/paraguay/admin
g-10,pop structure of delhi,http://statisticstimes.com/demographics/india/delhi-population.php
g-11,pop structure of karnataka,http://statisticstimes.com/demographics/india/karnataka-population.php
g-12,pop structure of puducherry,http://statisticstimes.com/demographics/india/puducherry-population.php
g-13,pop structure of tamil nadu,https://statisticstimes.com/demographics/india/tamil-nadu-population.php
g-14,"pop structure of pune, Paschim Medinipur, chennai, mumbai, odisha",2011 Indian Census
g-19,pop structure of maranhao,https://censo2010.ibge.gov.br/sinopse/index.php?uf=21&dados=26
g-20,pop structure of sao paulo,https://censo2010.ibge.gov.br/sinopse/webservice/frm_piramide.php?codigo=35&corhomem=3d4590&cormulher=9cdbfc
g-54,Mumbai populations,https://www.medrxiv.org/content/10.1101/2020.08.27.20182741v1.full.pdf
