pop_location_id,global_region,country,location_label,lower_age_bin,upper_age_bin,popshare,agedistribution_citation_id
105,Latin America,Brazil,Maranhao,55,59,3.3,g-19
105,Latin America,Brazil,Maranhao,10,14,11,g-19
105,Latin America,Brazil,Maranhao,50,54,3.9,g-19
105,Latin America,Brazil,Maranhao,20,24,10,g-19
105,Latin America,Brazil,Maranhao,70,100,3.9,g-19
105,Latin America,Brazil,Maranhao,25,29,9.1,g-19
105,Latin America,Brazil,Maranhao,30,34,7.6,g-19
105,Latin America,Brazil,Maranhao,0,4,9.699999999999999,g-19
105,Latin America,Brazil,Maranhao,35,39,6.1,g-19
105,Latin America,Brazil,Maranhao,40,44,5.4,g-19
105,Latin America,Brazil,Maranhao,15,19,10.4,g-19
105,Latin America,Brazil,Maranhao,45,49,4.6,g-19
105,Latin America,Brazil,Maranhao,65,69,2.1,g-19
105,Latin America,Brazil,Maranhao,5,9,10.2,g-19
105,Latin America,Brazil,Maranhao,60,64,2.6,g-19
111,South Asia ,India,Delhi,15,19,9.93,g-10
111,South Asia ,India,Delhi,20,24,10.51,g-10
111,South Asia ,India,Delhi,30,34,8.550000000000001,g-10
111,South Asia ,India,Delhi,10,14,9.82,g-10
111,South Asia ,India,Delhi,55,59,3.03,g-10
111,South Asia ,India,Delhi,70,100,2.5,g-10
111,South Asia ,India,Delhi,40,44,6.54,g-10
111,South Asia ,India,Delhi,65,69,1.62,g-10
111,South Asia ,India,Delhi,35,39,7.86,g-10
111,South Asia ,India,Delhi,45,49,5.43,g-10
111,South Asia ,India,Delhi,60,64,2.81,g-10
111,South Asia ,India,Delhi,5,9,9.15,g-10
111,South Asia ,India,Delhi,50,54,4.1,g-10
111,South Asia ,India,Delhi,25,29,9.94,g-10
111,South Asia ,India,Delhi,0,4,8.23,g-10
112,South Asia ,India,Karnataka,5,9,8.58,g-11
112,South Asia ,India,Karnataka,65,69,2.48,g-11
112,South Asia ,India,Karnataka,35,39,7.69,g-11
112,South Asia ,India,Karnataka,30,34,7.69,g-11
112,South Asia ,India,Karnataka,40,44,6.27,g-11
112,South Asia ,India,Karnataka,55,59,3.51,g-11
112,South Asia ,India,Karnataka,0,4,8.26,g-11
112,South Asia ,India,Karnataka,60,64,3.37,g-11
112,South Asia ,India,Karnataka,15,19,9.539999999999999,g-11
112,South Asia ,India,Karnataka,20,24,9.91,g-11
112,South Asia ,India,Karnataka,45,49,5.76,g-11
112,South Asia ,India,Karnataka,25,29,9.449999999999999,g-11
112,South Asia ,India,Karnataka,10,14,9.390000000000001,g-11
112,South Asia ,India,Karnataka,50,54,4.42,g-11
112,South Asia ,India,Karnataka,70,100,3.7,g-11
113,South Asia ,India,Pimpri-Chinchwad,15,19,8.73,r-57
113,South Asia ,India,Pimpri-Chinchwad,75,79,.9,r-57
113,South Asia ,India,Pimpri-Chinchwad,70,74,1.71,r-57
113,South Asia ,India,Pimpri-Chinchwad,35,39,7.59,r-57
