location_id,global_region,country,location_label,lower_age,upper_age,deaths,fatalities_citation_id
5,Latin America,Brazil,Maranhao,0,100,3434,n-1070
5,Latin America,Brazil,Maranhao,0,9,17,n-1070
5,Latin America,Brazil,Maranhao,10,19,16,n-1070
5,Latin America,Brazil,Maranhao,20,29,35,n-1070
5,Latin America,Brazil,Maranhao,30,39,109,n-1070
5,Latin America,Brazil,Maranhao,40,49,199,n-1070
5,Latin America,Brazil,Maranhao,50,59,367,n-1070
5,Latin America,Brazil,Maranhao,60,69,782,n-1070
5,Latin America,Brazil,Maranhao,70,100,1909,n-1070
11,South Asia ,India,Delhi,0,100,4462,"g-2 , g-1000 , n-21"
12,South Asia ,India,Karnataka,0,100,2335,a-313
12,South Asia ,India,Karnataka,0,9,4,a-313
12,South Asia ,India,Karnataka,10,19,9,a-313
12,South Asia ,India,Karnataka,20,29,38,a-313
12,South Asia ,India,Karnataka,30,39,134,a-313
12,South Asia ,India,Karnataka,40,49,296,a-313
12,South Asia ,India,Karnataka,50,59,593,a-313
12,South Asia ,India,Karnataka,60,69,648,a-313
12,South Asia ,India,Karnataka,70,79,424,a-313
12,South Asia ,India,Karnataka,80,100,189,a-313
13,South Asia ,India,Pimpri-Chinchwad,0,100,2181,n-23
16,South Asia ,India,Puducherry,0,100,468,n-30
18,South Asia ,India,West Bengal (only Paschim Medinipur),0,100,40,n-41
19,South Asia ,India,Chennai,0,100,2273,"ss-32 , a-1106"
19,South Asia ,India,Chennai,0,18,5,"ss-32 , a-1106"
19,South Asia ,India,Chennai,19,24,8,"ss-32 , a-1106"
19,South Asia ,India,Chennai,25,29,22,"ss-32 , a-1106"
19,South Asia ,India,Chennai,30,34,31,"ss-32 , a-1106"
19,South Asia ,India,Chennai,35,39,55,"ss-32 , a-1106"
19,South Asia ,India,Chennai,40,44,86,"ss-32 , a-1106"
19,South Asia ,India,Chennai,45,49,118,"ss-32 , a-1106"
19,South Asia ,India,Chennai,50,54,187,"ss-32 , a-1106"
19,South Asia ,India,Chennai,55,59,260,"ss-32 , a-1106"
19,South Asia ,India,Chennai,60,64,300,"ss-32 , a-1106"
19,South Asia ,India,Chennai,65,69,328,"ss-32 , a-1106"
19,South Asia ,India,Chennai,70,74,329,"ss-32 , a-1106"
19,South Asia ,India,Chennai,75,79,226,"ss-32 , a-1106"
19,South Asia ,India,Chennai,80,84,183,"ss-32 , a-1106"
19,South Asia ,India,Chennai,85,100,135,"ss-32 , a-1106"
24,Africa,Mozambique,Maputo city,0,100,15,s-2
36,Africa,Kenya,Nairobi County,0,100,760,"n-33, sp-6"
36,Africa,Kenya,Nairobi County,0,4,18,n-33
36,Africa,Kenya,Nairobi County,5,9,1,n-33
36,Africa,Kenya,Nairobi County,10,19,6,n-33
36,Africa,Kenya,Nairobi County,20,39,163,n-33
