Country,Total Population,Age 0-4,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Ages 60-64,Ages 65-69,Ages 70-74,Ages 75-79,Ages 80-84,Ages 85+
Albania,"2,877,749","166,278","167,554","162,181","199,597","228,356","244,323","223,924","166,849","152,510","170,509","184,185","201,906","186,459","143,783","108,132","86,536","53,876","30,791"
Argentina,"45,195,777","3,736,651","3,709,817","3,597,262","3,539,449","3,477,335","3,520,249","3,318,980","3,122,432","3,089,901","2,637,843","2,301,731","2,123,209","1,883,733","1,645,009","1,337,223","963,414","634,684","556,855"
Bolivia,"11,673,029","1,185,499","1,179,088","1,161,012","1,136,684","1,065,189","974,345","870,945","768,154","667,885","570,458","480,562","403,030","336,191","279,127","225,440","166,501","106,906","96,013"
Brazil,"212,559,408","14,475,093","14,601,817","14,942,442","16,218,003","17,152,049","16,952,594","17,147,907","17,328,855","15,661,313","13,800,693","12,822,932","11,598,270","9,468,159","7,428,703","5,309,419","3,492,132","2,317,208","1,841,819"
Cameroon,"26,545,864","4,115,703","3,730,323","3,320,209","2,856,250","2,419,998","2,131,789","1,860,818","1,539,024","1,203,235","938,608","729,131","559,346","420,400","312,899","209,912","122,822","56,789","18,608"
Chile,"19,116,208","1,162,223","1,265,856","1,249,637","1,244,242","1,402,909","1,592,629","1,545,821","1,399,583","1,324,096","1,254,308","1,214,595","1,137,676","982,298","809,488","581,299","411,827","274,260","263,461"
China,"1,439,323,774","83,932,437","86,735,183","84,262,751","82,341,859","87,158,167","97,989,003","128,738,970","100,091,455","96,274,146","119,837,617","123,445,382","98,740,491","77,514,139","74,149,766","44,949,689","26,544,616","16,181,417","10,436,686"
Colombia,"50,882,884","3,710,699","3,703,456","3,873,485","4,246,391","4,421,466","4,425,595","4,056,807","3,753,492","3,421,069","3,029,718","2,908,465","2,635,515","2,086,450","1,684,908","1,187,636","792,125","516,269","429,338"
Ecuador,"17,643,060","1,667,087","1,610,643","1,555,045","1,560,940","1,566,534","1,469,654","1,363,153","1,229,686","1,099,016","989,224","864,304","726,835","601,634","486,104","328,070","242,054","152,260","130,817"
Ethiopia,"114,963,582","16,791,484","15,246,064","13,853,199","12,975,795","11,746,856","9,692,189","7,518,893","6,273,985","4,933,945","4,104,708","3,228,746","2,475,320","2,056,264","1,568,290","1,188,435","740,933","371,805","196,671"
Hungary,"9,659,732","461,142","447,424","483,361","485,846","517,943","633,747","612,164","644,978","814,684","773,529","648,151","553,237","636,319","670,113","475,771","370,805","239,744","190,774"
India,"1,380,004,384","116,879,507","117,982,127","126,155,952","126,045,565","122,504,804","117,397,269","112,176,098","103,460,178","90,219,894","79,440,280","68,875,962","59,256,268","48,890,528","38,260,283","24,091,443","15,083,955","8,489,011","4,795,260"
Iran,"83,992,952","7,637,559","6,928,297","6,217,945","5,529,983","5,556,228","6,786,679","8,466,702","8,272,743","6,491,321","5,164,295","4,618,479","3,676,852","3,132,274","2,264,631","1,448,001","906,606","551,612","342,745"
Iraq,"40,222,503","5,380,423","5,229,807","4,559,181","4,151,576","3,799,871","3,365,719","2,927,362","2,476,321","2,150,018","1,786,602","1,414,995","926,157","669,716","622,677","331,945","241,773","126,606","61,754"
Jordan,"10,203,140","1,058,122","1,154,441","1,139,559","1,040,294","940,151","862,385","777,482","713,126","606,717","534,628","433,223","322,368","217,239","149,039","111,528","79,223","43,119","20,496"
Kenya,"53,771,299","7,044,364","6,969,546","6,736,223","6,010,656","5,236,593","4,357,681","4,022,692","3,447,454","2,759,450","2,143,595","1,604,073","1,201,530","888,215","630,611","381,067","193,272","101,723","42,554"
Laos,"7,275,555","796,887","769,855","757,599","708,652","691,999","670,626","590,926","495,603","416,557","356,127","288,932","237,645","184,270","133,701","84,637","51,527","27,327","12,685"
Mexico,"128,932,753","10,958,742","11,210,511","11,140,870","11,209,593","10,939,819","10,795,774","9,789,880","9,090,150","8,531,964","8,015,794","6,924,917","5,833,054","4,669,454","3,595,499","2,466,707","1,722,006","1,058,504","979,515"
Mozambique,"31,255,425","5,156,628","4,561,154","4,054,236","3,541,222","2,912,557","2,381,938","1,961,629","1,627,110","1,287,698","1,001,590","782,620","617,547","475,030","368,632","262,220","158,625","76,714","28,275"
Nepal,"29,136,709","2,706,773","2,756,210","2,931,249","3,188,881","3,221,524","2,664,850","2,069,262","1,723,480","1,597,026","1,448,627","1,263,391","1,044,309","823,091","664,987","473,733","337,802","152,514","69,000"
Nigeria,"206,139,587","33,938,795","29,913,646","25,792,743","21,910,447","18,068,574","15,108,845","13,044,512","11,323,538","9,458,643","7,578,818","5,943,469","4,756,702","3,656,623","2,601,903","1,716,912","906,791","333,348","85,278"
Oman,"4,974,991","450,112","369,409","294,728","219,563","373,375","748,380","819,545","543,987","379,074","268,644","172,403","129,079","85,014","49,155","27,366","24,448","11,926","8,784"
Pakistan,"220,892,330","27,962,852","25,499,380","23,451,518","21,975,918","20,772,274","19,158,088","16,818,327","13,997,696","11,615,522","9,633,225","8,230,712","6,891,900","5,279,090","3,623,324","2,705,744","1,853,185","961,863","461,712"
Palestine,"4,981,422","690,318","658,865","576,120","512,432","497,953","452,307","352,357","283,849","238,526","194,072","160,928","123,025","82,590","61,981","46,568","28,059","14,770","6,702"
Panama,"4,314,768","389,313","384,466","369,411","357,198","349,063","329,192","317,131","301,464","288,124","268,271","234,644","198,335","159,727","122,905","91,619","66,189","44,016","43,700"
Paraguay,"7,132,529","701,092","682,819","676,926","659,352","677,788","643,255","595,068","514,058","406,934","320,704","290,815","257,549","220,376","181,786","127,510","86,215","53,863","36,420"
Peru,"32,971,846","2,833,265","2,612,135","2,696,055","2,438,549","2,608,093","2,767,692","2,693,379","2,537,783","2,300,830","2,045,834","1,792,130","1,521,749","1,247,472","1,029,167","732,079","523,330","345,376","246,928"
Poland,"37,846,605","1,884,914","1,899,957","1,974,514","1,734,622","1,965,983","2,465,575","2,825,848","3,179,075","2,958,637","2,576,804","2,238,497","2,324,671","2,725,260","2,448,887","1,855,853","1,044,673","884,060","858,775"
Russia,"145,934,460","9,271,691","9,350,916","8,174,262","7,081,775","6,614,696","8,993,089","12,543,831","11,924,724","10,604,635","9,770,682","8,479,651","10,418,015","10,073,623","8,427,746","5,390,381","3,159,337","3,485,779","2,169,627"
Senegal,"16,296,361","2,584,884","2,364,333","2,032,091","1,711,906","1,480,524","1,270,567","1,081,594","906,992","711,262","567,082","449,450","353,877","276,850","211,243","140,299","91,626","44,484","17,297"
South_Africa,"59,308,689","5,764,945","5,820,660","5,495,963","4,913,211","4,924,091","5,217,398","5,374,110","4,781,215","3,810,040","3,233,235","2,692,132","2,219,400","1,794,715","1,369,726","895,217","580,838","298,420","123,373"
South_Sudan,"11,193,728","1,707,392","1,538,290","1,380,431","1,201,470","1,062,165","900,787","744,174","589,979","491,926","404,911","332,202","263,323","201,377","143,560","112,230","70,395","33,934","15,182"
UAE,"9,890,400","499,138","512,575","453,459","389,532","715,753","1,433,590","1,795,746","1,373,568","916,021","692,088","456,601","341,312","185,966","56,741","36,260","19,624","7,159","5,267"
Yemen,"29,161,922","4,098,711","3,858,537","3,481,047","3,147,471","2,911,389","2,752,226","2,231,797","1,721,727","1,288,351","950,881","750,191","632,547","490,731","357,896","249,145","138,323","67,920","33,032"
Zambia,"18,383,956","2,946,454","2,717,088","2,428,598","2,121,583","1,746,939","1,433,444","1,193,475","991,719","808,231","605,658","433,597","327,662","237,554","166,281","112,763","67,202","32,916","12,792"
Zimbabwe,"14,645,472","2,138,020","2,174,135","1,862,080","1,594,436","1,350,444","1,112,461","999,534","863,258","710,937","494,841","376,151","298,641","234,001","176,757","111,611","85,366","42,701","20,098"
