location_id,global_region,country,location_label,lower_age,upper_age,sample_size,num_positive
5,Latin America,Brazil,Maranhao,0,100,3156,1167
5,Latin America,Brazil,Maranhao,1,9,124,49
5,Latin America,Brazil,Maranhao,10,19,330,125
5,Latin America,Brazil,Maranhao,20,29,427,184
5,Latin America,Brazil,Maranhao,30,39,475,170
5,Latin America,Brazil,Maranhao,40,49,502,191
5,Latin America,Brazil,Maranhao,50,59,501,168
5,Latin America,Brazil,Maranhao,60,69,409,144
5,Latin America,Brazil,Maranhao,70,100,386,136
11,South Asia ,India,Delhi,0,100,14666,4233
11,South Asia ,India,Delhi,0,17,2443,779
11,South Asia ,India,Delhi,18,49,9189,2494
11,South Asia ,India,Delhi,50,100,3034,960
12,South Asia ,India,Karnataka,0,100,1196,488
12,South Asia ,India,Karnataka,10,19,58,23
12,South Asia ,India,Karnataka,20,29,170,62
12,South Asia ,India,Karnataka,30,39,221,83
12,South Asia ,India,Karnataka,40,49,353,155
12,South Asia ,India,Karnataka,50,59,256,108
12,South Asia ,India,Karnataka,60,69,100,40
12,South Asia ,India,Karnataka,70,79,29,12
12,South Asia ,India,Karnataka,80,100,9,5
13,South Asia ,India,Pimpri-Chinchwad,12,100,5000,1580
13,South Asia ,India,Pimpri-Chinchwad,12,17,618,216
13,South Asia ,India,Pimpri-Chinchwad,18,30,1687,501
13,South Asia ,India,Pimpri-Chinchwad,31,50,1681,528
13,South Asia ,India,Pimpri-Chinchwad,51,65,653,232
13,South Asia ,India,Pimpri-Chinchwad,66,100,361,103
16,South Asia ,India,Puducherry,0,100,898,186
16,South Asia ,India,Puducherry,18,29,165,33
16,South Asia ,India,Puducherry,30,44,277,58
16,South Asia ,India,Puducherry,45,59,271,64
16,South Asia ,India,Puducherry,60,100,185,31
17,South Asia ,India,Pune (five prabhags/subwards),0,100,1659,875
17,South Asia ,India,Pune (five prabhags/subwards),18,30,394,202.91
17,South Asia ,India,Pune (five prabhags/subwards),31,50,677,354.071
17,South Asia ,India,Pune (five prabhags/subwards),51,65,417,227.682
