location_id,country,location,lower_age,upper_age,mean,p025,p975
5,Brazil,Maranhao,0,9,3.47E-03,1.95E-03,5.52E-03
5,Brazil,Maranhao,10,19,3.09E-03,1.75E-03,4.87E-03
5,Brazil,Maranhao,20,29,6.42E-03,4.41E-03,8.83E-03
5,Brazil,Maranhao,30,39,0.0329068,0.0261715,0.0408227
5,Brazil,Maranhao,40,49,0.0770396,0.0641245,0.0921127
5,Brazil,Maranhao,50,59,0.2233377,0.1901825,0.2618903
5,Brazil,Maranhao,60,69,0.6946706,0.5975344,0.8098999
5,Brazil,Maranhao,70,100,2.043062,1.7721356,2.3626573
11,India,Delhi,0,100,0.055262,0.0505427,0.0600532
12,India,Karnataka,10,19,3.02E-04,1.33E-04,5.54E-04
12,India,Karnataka,20,29,1.16E-03,7.74E-04,1.65E-03
12,India,Karnataka,30,39,4.85E-03,3.77E-03,6.19E-03
12,India,Karnataka,40,49,0.0114897,9.69E-03,0.0135452
12,India,Karnataka,50,59,0.0366073,0.0308263,0.0436009
12,India,Karnataka,60,69,0.0598366,0.0462701,0.0787754
12,India,Karnataka,70,79,0.0931105,0.0595491,0.1519481
12,India,Karnataka,80,100,0.1396812,0.0736156,0.2891505
13,India,Pimpri-Chinchwad,0,100,0.2149911,0.199497,0.2307692
16,India,Puducherry,0,100,0.1835621,0.1519525,0.2212076
18,India,West Bengal (only Paschim Medinipur),0,100,5.73E-03,2.63E-03,0.0118245
19,India,Chennai,0,18,6.79E-04,2.44E-04,1.33E-03
19,India,Chennai,19,29,4.93E-03,3.33E-03,6.87E-03
19,India,Chennai,30,39,0.0163085,0.0128931,0.0201702
19,India,Chennai,40,49,0.0474646,0.0401302,0.0553809
19,India,Chennai,50,59,0.168483,0.1474938,0.1917604
19,India,Chennai,60,100,0.7326951,0.6497485,0.8262088
24,Mozambique,Maputo city,0,100,0.0392865,0.0216019,0.0627418
36,Kenya,Nairobi County,0,9,0.0136747,7.06E-03,0.0240224
36,Kenya,Nairobi County,10,19,3.27E-03,1.25E-03,6.39E-03
36,Kenya,Nairobi County,20,39,0.0209658,0.0168922,0.0257692
36,Kenya,Nairobi County,40,59,0.1448424,0.1135608,0.184695
36,Kenya,Nairobi County,60,100,1.7555414,0.9214254,3.5639598
38,Argentina,Buenos Aires City,0,17,5.96E-03,1.88E-03,0.0126647
38,Argentina,Buenos Aires City,18,39,0.0675506,0.0486049,0.0913404
