location_id,country,location,lower_age,upper_age,Mean,x025,x975
5,Brazil,Maranhao,0,9,38.4564375,30.1000383,46.9908411
5,Brazil,Maranhao,10,19,37.6426328,32.4319223,43.0251725
5,Brazil,Maranhao,20,29,42.981459,38.1900957,47.7565051
5,Brazil,Maranhao,30,39,35.7461709,31.4663905,40.2088954
5,Brazil,Maranhao,40,49,37.9758093,33.7808024,42.4213779
5,Brazil,Maranhao,50,59,33.4875652,29.373081,37.6660502
5,Brazil,Maranhao,60,69,35.1220241,30.5681695,39.866554
5,Brazil,Maranhao,70,100,35.1249491,30.3779736,39.9603344
11,India,Delhi,0,17,47.0391462,42.8223806,51.7420755
11,India,Delhi,18,49,39.9090591,36.6311378,43.3893829
11,India,Delhi,50,100,46.7052789,42.6037462,51.1774065
12,India,Karnataka,10,19,41.734386,28.8815721,55.5058073
12,India,Karnataka,20,29,40.7681702,32.5853241,49.2227669
12,India,Karnataka,30,39,42.2870488,34.9227042,49.9402138
12,India,Karnataka,40,49,50.0090586,43.9425447,56.2938394
12,India,Karnataka,50,59,47.735635,40.5669389,55.1804662
12,India,Karnataka,60,69,43.6971741,33.0054485,54.7659097
12,India,Karnataka,70,79,39.9949284,23.2821938,58.1766478
12,India,Karnataka,80,100,39.4735271,17.1327351,64.6938425
13,India,Pimpri-Chinchwad,0,17,43.9224078,39.0816423,48.9788119
13,India,Pimpri-Chinchwad,18,30,37.4836318,34.4007554,40.7168579
13,India,Pimpri-Chinchwad,31,50,39.652872,36.5103854,42.9331168
13,India,Pimpri-Chinchwad,51,65,44.7108351,39.8052556,49.8246001
13,India,Pimpri-Chinchwad,66,100,35.7398832,29.8897581,42.0398409
16,India,Puducherry,0,29,20.0706553,14.3492541,26.3689487
16,India,Puducherry,30,44,21.0519243,16.5232608,25.922554
16,India,Puducherry,45,59,23.6896364,18.8205274,28.9685215
16,India,Puducherry,60,100,17.0802489,12.0334275,22.780737
18,India,West Bengal (only Paschim Medinipur),0,19,20.3096396,5.2224713,42.5252174
18,India,West Bengal (only Paschim Medinipur),20,45,6.870475,1.9161584,13.7737398
18,India,West Bengal (only Paschim Medinipur),46,59,9.4048505,2.1510337,20.9367531
18,India,West Bengal (only Paschim Medinipur),60,100,11.3089071,1.8601881,27.9621099
19,India,Chennai,0,18,28.0669291,25.317485,30.9140611
19,India,Chennai,19,29,26.749493,24.4565216,29.1651774
19,India,Chennai,30,39,26.7893372,24.585991,29.0828119
19,India,Chennai,40,49,27.6065247,25.340503,29.9649249
19,India,Chennai,50,59,24.8948235,22.5816048,27.2944909
