country_id,mean,p025,p975
BRA,0.6636416,0.5701771,0.8303838
IND,0.0663126,0.0634101,0.0694086
MOZ,0.0392865,0.0216019,0.0627418
KEN,0.0560596,0.0486024,0.0647139
ARG,1.416398,1.2179889,1.6455971
BOL,1.0891522,0.9613312,1.2638912
COL,0.3873001,0.3688642,0.4067148
PER,0.5839553,0.5526807,0.6164334
NEP,0.0544137,0.0433818,0.0729942
ETH,0.0524627,0.0333327,0.0809275
IRN,0.2672551,0.2319369,0.3157469
MEX,0.4610795,0.4411448,0.4801617
SAF,0.3100405,0.2651353,0.3627785
ZAM,0.2412984,0.1397241,0.6021196
RUS,0.5355194,0.4125478,0.7242061
CHI,0.5285078,0.4685487,0.5938923
PAK,0.0302516,0.0244035,0.0382302
POL,0.238961,0.188536,0.3024013
JOR,0.1240086,0.1119071,0.1367605
HUN,1.6072564,0.8756981,3.2757952
PAR,0.2844842,0.2225488,0.3966371
