location_id,location,country,pi_18_to_60_mean,pi_18_to_60_lower_bound,pi_18_to_60_upper_bound,pi_40_to_60_mean,pi_40_to_60_lower_bound,pi_40_to_60_upper_bound,pi_60plus_mean,pi_60plus_lower_bound,pi_60plus_upper_bound,ratio_18_over_60_mean,ratio_18_over_60_lower_bound,ratio_18_over_60_upper_bound,ratio_40_over_60_mean,ratio_40_over_60_lower_bound,ratio_40_over_60_upper_bound,significant_20,significant_40
5,Maranhao,Brazil,37.3614911,35.1443077,39.6864526,35.7339246,32.7492879,38.8271975,35.1234443,31.8031237,38.6290189,0.940927046,0.839162179,1.048064743,0.984735966,0.863946967,1.114050713,FALSE,FALSE
11,Delhi,India,39.9090591,36.6311378,43.3893829,,,,,,,,,,,,,,
12,Karnataka,India,46.149547,42.3646746,50.1404335,49.0533995,44.2366218,53.9901525,42.6437107,33.9719408,51.7242135,0.925430202,0.729816656,1.134415832,0.871335786,0.684722009,1.074670004,FALSE,FALSE
13,Pimpri-Chinchwad,India,39.5641731,37.2728848,41.9966445,44.7108351,39.8052556,49.8246001,35.7398832,29.8897581,42.0398409,0.903850143,0.753489133,1.065297501,0.801716519,0.652594642,0.97123694,FALSE,TRUE
16,Puducherry,India,22.3563403,19.055651,25.9455452,23.6896364,18.8205274,28.9685215,17.0802489,12.0334275,22.780737,0.768765755,0.527020229,1.065849572,0.729722174,0.484402501,1.040618351,FALSE,FALSE
18,Paschim Medinipur (West Bengal),India,7.5251346,2.9198163,13.6521866,9.4048505,2.1510337,20.9367531,11.3089071,1.8601881,27.9621099,1.710725911,0.239484085,5.031772308,1.661636868,0.179638835,6.067048098,FALSE,FALSE
19,Chennai,India,26.5819948,25.1820138,28.0475152,26.3856256,24.643253,28.2118036,18.576928,16.5982175,20.6649369,0.699101644,0.625757586,0.777454309,0.704610398,0.62622034,0.787993233,TRUE,TRUE
24,Maputo city,Mozambique,3.8139164,3.0198254,4.6372632,,,,4.6531678,3.1674737,6.3547331,1.232483886,0.80314183,1.761154071,,,,FALSE,
36,Nairobi County,Kenya,36.9308095,32.4036378,41.6555358,35.1271596,28.0017449,42.6941269,20.1208073,8.8688342,33.6925744,0.545870679,0.241072492,0.921024282,0.578241722,0.250023906,0.994862783,TRUE,TRUE
38,Buenos Aires City,Argentina,10.7666679,8.7659937,12.8703889,9.4117574,6.6571582,12.4692589,10.5216918,7.5763768,13.9116836,0.985477523,0.678918618,1.357473362,1.145165881,0.735573927,1.705024594,FALSE,FALSE
40,Municipality of Hurlingham,Argentina,15.1106681,12.3054741,18.1729841,13.657007,9.9680662,17.7005536,12.4171872,9.2659008,15.8875065,0.82921513,0.58995444,1.122316018,0.927428732,0.62218195,1.326476543,FALSE,FALSE
44,Leticia,Colombia,52.0282569,48.6588457,55.4671687,48.6020173,43.3842739,54.0407832,43.5359883,36.1316878,51.1478354,0.837648433,0.688126271,0.994185329,0.898495243,0.724833476,1.090329992,TRUE,FALSE
45,Barranquilla,Colombia,47.0069258,43.545283,50.5966654,45.3245425,40.1829456,50.5169464,41.6370659,35.5581736,47.9148636,0.887005687,0.744568593,1.03834946,0.921755508,0.758270413,1.106085524,FALSE,FALSE
46,Medellin,Colombia,25.730185,23.2111898,28.3185269,25.0610043,21.4157761,28.9055092,15.759384,12.5169416,19.3349974,0.613991669,0.478985104,0.767332163,0.632420861,0.48136549,0.811780308,TRUE,TRUE
48,Bucaramanga,Colombia,27.9408224,25.1811778,30.8842469,25.606216,21.5907695,29.8154318,23.2530722,18.469521,28.5681497,0.834430971,0.6480892,1.043653539,0.914313014,0.686398166,1.184405137,FALSE,FALSE
49,Cucuta,Colombia,35.3727797,32.3183921,38.5289318,31.2260071,26.956299,35.7173628,27.501682,22.1472677,33.1667405,0.779014856,0.614014543,0.96015348,0.885289561,0.681378987,1.119184854,TRUE,FALSE
50,Villavicencio,Colombia,31.0625705,28.1771406,34.0525447,27.5314354,23.3705445,32.070815,23.1090508,17.8578772,28.7901978,0.745707983,0.565803139,0.948197714,0.844800162,0.625014453,1.103978768,TRUE,FALSE
51,Bogota,Colombia,27.9083802,26.2815793,29.6117912,26.6700008,24.2755515,29.1754763,16.8609088,14.1383293,19.7657799,0.604670805,0.50277869,0.714109522,0.633577373,0.519682981,0.761864728,TRUE,TRUE
52,Cali,Colombia,27.836102,25.3740167,30.4219979,27.494971,23.8729441,31.3489714,19.3793067,15.4991553,23.6200505,0.69764296,0.549471467,0.864899993,0.708216572,0.546611911,0.899475584,TRUE,TRUE
54,Ipiales,Colombia,31.4950813,28.6279775,34.4767824,30.49553,26.2335194,34.9173557,22.1096582,16.9851116,27.7996157,0.703503621,0.530729192,0.897958799,0.728783566,0.538373852,0.955071476,TRUE,TRUE
60,Lambayeque,Peru,37.6657092,33.5512967,42.4506224,35.8354814,30.9220025,41.4102435,27.1665456,22.0441803,32.8518418,0.72248113,0.588450585,0.873905425,0.760809896,0.610511775,0.936318248,TRUE,TRUE
